"Time","141006A","","141006A","","141006A","",""
"and","140.00","","140.00","","140.00","",""
"Date","Discharge (Cumecs)","","Discharge (Cumecs)","","Discharge (Cumecs)","",""
"Date and time","Mean","Quality","Min","Quality","Max","Quality","Comments"
00:00:00 26/10/1972,      0.0303,     20,      0.0265,     20,      0.0340,     20, 
00:00:00 27/10/1972,      0.0696,     20,      0.0265,     20,      0.1830,     20, 
00:00:00 28/10/1972,      1.2252,     20,      0.1830,     20,      2.7015,     20, 
00:00:00 29/10/1972,      7.0340,     20,      1.1310,     20,     13.2440,     20, 
00:00:00 30/10/1972,      4.4271,     10,      1.3252,     10,      9.7235,     10, 
00:00:00 31/10/1972,      0.7642,     10,      0.4414,     10,      1.3252,     10, 
00:00:00 01/11/1972,      0.3217,     10,      0.2520,     10,      0.4414,     10, 
00:00:00 02/11/1972,      0.2247,     20,      0.1935,     20,      0.2520,     20, 
00:00:00 03/11/1972,      0.1531,     20,      0.1265,     20,      0.1935,     20, 
00:00:00 04/11/1972,      0.1085,     20,      0.0885,     20,      0.1265,     20, 
00:00:00 05/11/1972,      0.0852,     20,      0.0850,     20,      0.0885,     20, 
00:00:00 06/11/1972,      0.0850,     20,      0.0850,     20,      0.0850,     20, 
00:00:00 07/11/1972,      0.7767,     20,      0.0850,     20,      1.5265,     20, 
00:00:00 08/11/1972,      0.2517,     20,      0.1830,     20,      0.4256,     20, 
00:00:00 09/11/1972,      7.6271,     20,      0.1830,     20,     34.6400,     20, 
00:00:00 10/11/1972,      8.5021,     20,      2.4227,     20,     32.1778,     20, 
00:00:00 11/11/1972,     27.2795,     20,      1.6320,     20,     59.8640,     20, 
00:00:00 12/11/1972,     13.5008,     20,      3.8155,     20,     48.9583,     20, 
00:00:00 13/11/1972,      2.5887,     10,      1.6409,     10,      3.8155,     10, 
00:00:00 14/11/1972,      1.3381,     10,      1.0354,     10,      1.6409,     10, 
00:00:00 15/11/1972,      0.8300,     10,      0.6278,     10,      1.0354,     10, 
00:00:00 16/11/1972,      0.5110,     10,      0.4210,     10,      0.6278,     10, 
00:00:00 17/11/1972,      0.3604,     10,      0.3250,     10,      0.4210,     10, 
00:00:00 18/11/1972,      0.2887,     10,      0.2630,     10,      0.3250,     10, 
00:00:00 19/11/1972,      0.2535,     10,      0.2440,     10,      0.2630,     10, 
00:00:00 20/11/1972,      0.2293,     10,      0.2150,     10,      0.2440,     10, 
00:00:00 21/11/1972,      0.2093,     10,      0.2085,     10,      0.2150,     10, 
00:00:00 22/11/1972,      0.2161,     10,      0.2085,     10,      0.2260,     10, 
00:00:00 23/11/1972,      0.2035,     20,      0.1905,     20,      0.2165,     20, 
00:00:00 24/11/1972,      0.1659,     20,      0.1380,     20,      0.1905,     20, 
00:00:00 25/11/1972,      0.1278,     20,      0.1265,     20,      0.1380,     20, 
00:00:00 26/11/1972,      0.1492,     20,      0.1265,     20,      0.2085,     20, 
00:00:00 27/11/1972,      1.2829,     10,      0.2085,     10,      3.1940,     10, 
00:00:00 28/11/1972,      0.2715,     20,      0.2042,     20,      0.4076,     20, 
00:00:00 29/11/1972,      0.1607,     20,      0.1265,     20,      0.2042,     20, 
00:00:00 30/11/1972,      0.1265,     20,      0.1265,     20,      0.1265,     20, 
00:00:00 01/12/1972,      0.1265,     20,      0.1265,     20,      0.1265,     20, 
00:00:00 02/12/1972,      0.1190,     20,      0.1080,     20,      0.1265,     20, 
00:00:00 03/12/1972,      0.0978,     20,      0.0880,     20,      0.1080,     20, 
00:00:00 04/12/1972,      0.0853,     20,      0.0850,     20,      0.0880,     20, 
00:00:00 05/12/1972,      0.0850,     20,      0.0850,     20,      0.0850,     20, 
00:00:00 06/12/1972,      0.0850,     20,      0.0850,     20,      0.0850,     20, 
00:00:00 07/12/1972,      0.0791,     20,      0.0710,     20,      0.0850,     20, 
00:00:00 08/12/1972,      0.0638,     20,      0.0570,     20,      0.0710,     20, 
00:00:00 09/12/1972,      0.0552,     20,      0.0550,     20,      0.0570,     20, 
00:00:00 10/12/1972,      0.0505,     20,      0.0450,     20,      0.0550,     20, 
00:00:00 11/12/1972,      0.0436,     20,      0.0435,     20,      0.0450,     20, 
00:00:00 12/12/1972,      0.0397,     20,      0.0350,     20,      0.0435,     20, 
00:00:00 13/12/1972,      0.0377,     20,      0.0340,     20,      0.0425,     20, 
00:00:00 14/12/1972,      0.0434,     20,      0.0425,     20,      0.0435,     20, 
00:00:00 15/12/1972,      0.0435,     20,      0.0435,     20,      0.0435,     20, 
00:00:00 16/12/1972,      0.0397,     20,      0.0350,     20,      0.0435,     20, 
00:00:00 17/12/1972,      0.0388,     20,      0.0340,     20,      0.0435,     20, 
00:00:00 18/12/1972,      0.0407,     20,      0.0285,     20,      0.0550,     20, 
00:00:00 19/12/1972,      0.0291,     20,      0.0265,     20,      0.0325,     20, 
00:00:00 20/12/1972,      0.0311,     20,      0.0275,     20,      0.0340,     20, 
00:00:00 21/12/1972,      0.0266,     20,      0.0265,     20,      0.0275,     20, 
00:00:00 22/12/1972,      0.0265,     20,      0.0265,     20,      0.0265,     20, 
00:00:00 23/12/1972,      0.0240,     20,      0.0210,     20,      0.0265,     20, 
00:00:00 24/12/1972,      0.0173,     20,      0.0135,     20,      0.0210,     20, 
00:00:00 25/12/1972,      0.0108,     20,      0.0085,     20,      0.0135,     20, 
00:00:00 26/12/1972,      0.0076,     20,      0.0075,     20,      0.0085,     20, 
00:00:00 27/12/1972,      0.0157,     20,      0.0075,     20,      0.0338,     20, 
00:00:00 28/12/1972,      0.2565,     20,      0.0338,     20,      0.3700,     20, 
00:00:00 29/12/1972,      0.2989,     10,      0.2085,     10,      0.4185,     10, 
00:00:00 30/12/1972,      0.2001,     20,      0.1043,     20,      0.3250,     20, 
00:00:00 31/12/1972,      0.0774,     20,      0.0580,     20,      0.1043,     20, 
00:00:00 01/01/1973,      0.0507,     20,      0.0450,     20,      0.0580,     20, 
00:00:00 02/01/1973,      0.0364,     20,      0.0280,     20,      0.0450,     20, 
00:00:00 03/01/1973,      0.0266,     20,      0.0265,     20,      0.0280,     20, 
00:00:00 04/01/1973,      0.0238,     20,      0.0205,     20,      0.0265,     20, 
00:00:00 05/01/1973,      0.0200,     20,      0.0200,     20,      0.0205,     20, 
00:00:00 06/01/1973,      0.0231,     20,      0.0200,     20,      0.0265,     20, 
00:00:00 07/01/1973,      0.0321,     20,      0.0200,     20,      0.0685,     20, 
00:00:00 08/01/1973,      0.2768,     20,      0.0685,     20,      0.5260,     20, 
00:00:00 09/01/1973,      0.1375,     20,      0.1045,     20,      0.2088,     20, 
00:00:00 10/01/1973,      1.9163,     20,      0.1040,     20,      5.0160,     20, 
00:00:00 11/01/1973,      0.3552,     10,      0.2272,     10,      0.7935,     10, 
00:00:00 12/01/1973,      0.1972,     20,      0.1830,     20,      0.2272,     20, 
00:00:00 13/01/1973,      0.2113,     20,      0.1830,     20,      0.2260,     20, 
00:00:00 14/01/1973,      0.2047,     20,      0.1830,     20,      0.2440,     20, 
00:00:00 15/01/1973,      1.3497,     10,      0.2440,     10,      3.1940,     10, 
00:00:00 16/01/1973,      0.3055,     10,      0.2497,     10,      0.4445,     10, 
00:00:00 17/01/1973,      0.2228,     20,      0.1902,     20,      0.2497,     20, 
00:00:00 18/01/1973,      0.1444,     20,      0.1265,     20,      0.1902,     20, 
00:00:00 19/01/1973,      0.1167,     20,      0.1055,     20,      0.1265,     20, 
00:00:00 20/01/1973,      0.0878,     20,      0.0705,     20,      0.1055,     20, 
00:00:00 21/01/1973,      0.0961,     20,      0.0685,     20,      0.2287,     20, 
00:00:00 22/01/1973,      0.3088,     20,      0.2287,     20,      0.5260,     20, 
00:00:00 23/01/1973,      3.3093,     10,      0.2440,     10,      8.7715,     10, 
00:00:00 24/01/1973,      5.0609,     10,      3.0358,     10,      7.0745,     10, 
00:00:00 25/01/1973,      1.8909,     10,      1.1457,     10,      3.0358,     10, 
00:00:00 26/01/1973,      0.7479,     10,      0.4746,     10,      1.1457,     10, 
00:00:00 27/01/1973,      0.4697,     10,      0.3470,     10,      0.8570,     10, 
00:00:00 28/01/1973,      0.4445,     10,      0.2825,     10,      0.8212,     10, 
00:00:00 29/01/1973,      0.5459,     10,      0.2630,     10,      1.6680,     10, 
00:00:00 30/01/1973,      3.9009,     10,      0.7140,     10,     10.6415,     10, 
00:00:00 31/01/1973,      2.5611,     10,      1.2198,     10,      5.5420,     10, 
00:00:00 01/02/1973,      0.8275,     10,      0.5097,     10,      1.2198,     10, 
00:00:00 02/02/1973,      0.3813,     10,      0.3050,     10,      0.5097,     10, 
00:00:00 03/02/1973,      0.2909,     10,      0.2645,     10,      0.3050,     10, 
00:00:00 04/02/1973,      0.2399,     10,      0.2260,     10,      0.2645,     10, 
00:00:00 05/02/1973,      0.2171,     10,      0.2085,     10,      0.2260,     10, 
00:00:00 06/02/1973,      0.1994,     20,      0.1870,     20,      0.2085,     20, 
00:00:00 07/02/1973,      0.1832,     20,      0.1830,     20,      0.1870,     20, 
00:00:00 08/02/1973,      0.1696,     20,      0.1530,     20,      0.1830,     20, 
00:00:00 09/02/1973,      0.1796,     20,      0.1530,     20,      0.2301,     20, 
00:00:00 10/02/1973,      0.1989,     20,      0.1455,     20,      0.2440,     20, 
00:00:00 11/02/1973,      0.1288,     20,      0.1265,     20,      0.1455,     20, 
00:00:00 12/02/1973,      2.8986,     20,      0.1265,     20,      7.0120,     20, 
00:00:00 13/02/1973,      5.2783,     10,      2.1217,     10,      8.6722,     10, 
00:00:00 14/02/1973,     38.9948,     30,      8.6722,     30,     73.7005,     30, 
00:00:00 15/02/1973,     10.8002,     20,      4.2665,     20,     29.7104,     20, 
00:00:00 16/02/1973,      4.7893,     20,      3.4890,     20,     12.0005,     20, 
00:00:00 17/02/1973,     33.3897,     20,     12.0005,     20,     62.4445,     20, 
00:00:00 18/02/1973,     11.3244,     20,      8.0285,     20,     19.9835,     20, 
00:00:00 19/02/1973,      5.1747,     10,      3.4464,     10,      8.0285,     10, 
00:00:00 20/02/1973,      2.7218,     10,      2.3036,     10,      3.4464,     10, 
00:00:00 21/02/1973,      3.3156,     10,      2.0155,     10,      6.4070,     10, 
00:00:00 22/02/1973,      2.1288,     10,      1.5564,     10,      3.0576,     10, 
00:00:00 23/02/1973,      5.3026,     20,      1.2945,     20,     16.8395,     20, 
00:00:00 24/02/1973,      3.6523,     10,      2.2656,     10,      7.8927,     10, 
00:00:00 25/02/1973,      3.4186,     10,      1.9760,     10,      5.9625,     10, 
00:00:00 26/02/1973,      3.5558,     10,      2.1844,     10,      5.4115,     10, 
00:00:00 27/02/1973,      6.4893,     10,      2.1755,     10,     10.9090,     10, 
00:00:00 28/02/1973,      5.2907,     10,      2.7256,     10,     10.7772,     10, 
00:00:00 01/03/1973,      2.3728,     10,      2.0155,     10,      2.7320,     10, 
00:00:00 02/03/1973,      2.0218,     10,      1.4012,     10,      2.7320,     10, 
00:00:00 03/03/1973,      1.2015,     10,      1.0580,     10,      1.4012,     10, 
00:00:00 04/03/1973,      0.9094,     10,      0.7627,     10,      1.0580,     10, 
00:00:00 05/03/1973,      0.6752,     10,      0.5974,     10,      0.7627,     10, 
00:00:00 06/03/1973,      0.5475,     10,      0.5065,     10,      0.5974,     10, 
00:00:00 07/03/1973,      0.4680,     10,      0.4305,     10,      0.5065,     10, 
00:00:00 08/03/1973,      0.3844,     10,      0.3595,     10,      0.4305,     10, 
00:00:00 09/03/1973,      0.3388,     10,      0.3180,     10,      0.3595,     10, 
00:00:00 10/03/1973,      0.3069,     10,      0.2970,     10,      0.3180,     10, 
00:00:00 11/03/1973,      0.2873,     10,      0.2775,     10,      0.2970,     10, 
00:00:00 12/03/1973,      0.2682,     10,      0.2590,     10,      0.2775,     10, 
00:00:00 13/03/1973,      0.2523,     10,      0.2455,     10,      0.2590,     10, 
00:00:00 14/03/1973,      0.2417,     10,      0.2410,     10,      0.2455,     10, 
00:00:00 15/03/1973,      0.2371,     10,      0.2295,     10,      0.2410,     10, 
00:00:00 16/03/1973,      0.2248,     10,      0.2240,     10,      0.2295,     10, 
00:00:00 17/03/1973,      0.2294,     10,      0.2240,     10,      0.2390,     10, 
00:00:00 18/03/1973,      0.3105,     10,      0.2390,     10,      0.4020,     10, 
00:00:00 19/03/1973,      0.2111,     20,      0.1890,     20,      0.2469,     20, 
00:00:00 20/03/1973,      0.1833,     20,      0.1830,     20,      0.1890,     20, 
00:00:00 21/03/1973,      0.1697,     20,      0.1545,     20,      0.1830,     20, 
00:00:00 22/03/1973,      0.1526,     20,      0.1525,     20,      0.1545,     20, 
00:00:00 23/03/1973,      0.1405,     20,      0.1275,     20,      0.1525,     20, 
00:00:00 24/03/1973,      0.2138,     20,      0.1265,     20,      0.3103,     20, 
00:00:00 25/03/1973,      0.2477,     20,      0.1856,     20,      0.3160,     20, 
00:00:00 26/03/1973,      0.1830,     20,      0.1830,     20,      0.1856,     20, 
00:00:00 27/03/1973,      0.1711,     20,      0.1595,     20,      0.1830,     20, 
00:00:00 28/03/1973,      0.1604,     20,      0.1525,     20,      0.1730,     20, 
00:00:00 29/03/1973,      0.1739,     20,      0.1615,     20,      0.1830,     20, 
00:00:00 30/03/1973,      0.1663,     20,      0.1525,     20,      0.2387,     20, 
00:00:00 31/03/1973,      1.5081,     10,      0.2387,     10,      3.4390,     10, 
00:00:00 01/04/1973,      0.3483,     10,      0.2272,     10,      0.5825,     10, 
00:00:00 02/04/1973,      0.2163,     10,      0.2080,     10,      0.2272,     10, 
00:00:00 03/04/1973,      0.1831,     20,      0.1530,     20,      0.2080,     20, 
00:00:00 04/04/1973,      0.1525,     20,      0.1525,     20,      0.1530,     20, 
00:00:00 05/04/1973,      0.1525,     20,      0.1525,     20,      0.1525,     20, 
00:00:00 06/04/1973,      0.1671,     20,      0.1525,     20,      0.1960,     20, 
00:00:00 07/04/1973,      0.2016,     20,      0.1930,     20,      0.2080,     20, 
00:00:00 08/04/1973,      0.1690,     20,      0.1405,     20,      0.1930,     20, 
00:00:00 09/04/1973,      0.1221,     20,      0.1095,     20,      0.1405,     20, 
00:00:00 10/04/1973,      0.1043,     20,      0.1035,     20,      0.1095,     20, 
00:00:00 11/04/1973,      0.1035,     20,      0.1035,     20,      0.1035,     20, 
00:00:00 12/04/1973,      0.1244,     20,      0.1035,     20,      0.1615,     20, 
00:00:00 13/04/1973,      0.2061,     20,      0.1615,     20,      0.2410,     20, 
00:00:00 14/04/1973,      0.1750,     20,      0.1585,     20,      0.1995,     20, 
00:00:00 15/04/1973,      0.1366,     20,      0.1120,     20,      0.1585,     20, 
00:00:00 16/04/1973,      0.1043,     20,      0.1035,     20,      0.1120,     20, 
00:00:00 17/04/1973,      0.0969,     20,      0.0875,     20,      0.1035,     20, 
00:00:00 18/04/1973,      0.0848,     20,      0.0845,     20,      0.0875,     20, 
00:00:00 19/04/1973,      0.0786,     20,      0.0705,     20,      0.0845,     20, 
00:00:00 20/04/1973,      0.0686,     20,      0.0685,     20,      0.0705,     20, 
00:00:00 21/04/1973,      0.0630,     20,      0.0560,     20,      0.0685,     20, 
00:00:00 22/04/1973,      0.0546,     20,      0.0545,     20,      0.0560,     20, 
00:00:00 23/04/1973,      0.0545,     20,      0.0545,     20,      0.0545,     20, 
00:00:00 24/04/1973,      0.0545,     20,      0.0545,     20,      0.0545,     20, 
00:00:00 25/04/1973,      0.0666,     20,      0.0545,     20,      0.0820,     20, 
00:00:00 26/04/1973,      0.1250,     20,      0.0820,     20,      0.1525,     20, 
00:00:00 27/04/1973,      0.1121,     20,      0.1035,     20,      0.1290,     20, 
00:00:00 28/04/1973,      0.0944,     20,      0.0850,     20,      0.1035,     20, 
00:00:00 29/04/1973,      0.7611,     20,      0.0845,     20,      1.8225,     20, 
00:00:00 30/04/1973,      2.8380,     10,      0.6385,     10,      7.2005,     10, 
00:00:00 01/05/1973,      3.4001,     10,      1.7040,     10,      6.7640,     10, 
00:00:00 02/05/1973,      2.1359,     10,      1.0273,     10,      5.0807,     10, 
00:00:00 03/05/1973,      0.6354,     10,      0.4059,     10,      1.0273,     10, 
00:00:00 04/05/1973,      0.3288,     10,      0.3035,     10,      0.4059,     10, 
00:00:00 05/05/1973,      0.2743,     10,      0.2446,     10,      0.3035,     10, 
00:00:00 06/05/1973,      0.2363,     10,      0.2285,     10,      0.2446,     10, 
00:00:00 07/05/1973,      0.2198,     10,      0.2110,     10,      0.2285,     10, 
00:00:00 08/05/1973,      0.2087,     10,      0.2085,     10,      0.2110,     10, 
00:00:00 09/05/1973,      0.2085,     10,      0.2085,     10,      0.2085,     10, 
00:00:00 10/05/1973,      0.2002,     20,      0.1865,     20,      0.2085,     20, 
00:00:00 11/05/1973,      0.1832,     20,      0.1830,     20,      0.1865,     20, 
00:00:00 12/05/1973,      0.1702,     20,      0.1550,     20,      0.1830,     20, 
00:00:00 13/05/1973,      0.1416,     20,      0.1285,     20,      0.1550,     20, 
00:00:00 14/05/1973,      0.1266,     20,      0.1265,     20,      0.1285,     20, 
00:00:00 15/05/1973,      0.1265,     20,      0.1265,     20,      0.1265,     20, 
